name,Blue Bikes presence,Cambio information,Escalator,Free Toilets,Has PMR Assistance,Lift on the platform,Location of taxis,Luggage Lockers,Number of Parking Places for PMR,Other shared bikes in the area,PMR Toilets,Paid Toilets,Presence of connecting buses,Presence of connecting metro,Presence of connecting tram,Presence of the Bikes point,TVM Count,Wifi presence
Temse,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Terhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Viane-Moerbeke,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Vijfhuizen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Waarschoot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Welle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Wetteren,1,0,0,1,0,0,1,0,11,0,1,0,1,0,0,0,1,0
Wichelen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Wondelgem,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zandbergen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zele,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,1,1,0
Zingem,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Zottegem,1,0,1,1,0,0,0,0,6,0,1,0,1,0,0,1,1,0
Brabant Flamand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarschot,0,0,0,1,1,0,1,0,37,1,1,0,1,0,0,1,1,0
Asse,0,0,0,1,0,0,0,0,7,0,1,0,1,0,0,1,1,0
Beersel,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Begijnendijk,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Boortmeerbeek,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,1,0
Brussels Airport-Zaventem,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
Buda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Buizingen,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
De Hoek,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Diegem,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Diest,1,1,0,1,1,0,1,0,8,0,1,0,1,0,0,1,1,0
Dilbeek,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Eppegem,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Erps-Kwerps,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Essene-Lombeek,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Ezemaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gammerages,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Groenendaal,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Groot-Bijgaarden,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0
Haacht,1,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,1,0
Hal,0,1,1,0,1,1,1,0,19,0,1,1,1,0,0,1,1,1
Hambos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Herent,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1,0
Herne,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0
Hever,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Heverlee,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Hoeilaart,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Hofstade,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Holleken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Huizingen,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Kapelle-Op-Den-Bos,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
Kortenberg,0,0,0,0,0,1,0,0,8,0,1,0,1,0,0,0,1,0
Landen,0,0,0,0,1,0,1,0,12,0,0,0,1,0,0,0,1,0
Langdorp,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Lembeek,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Louvain,1,1,1,0,1,1,1,1,27,1,1,1,1,0,0,1,1,1
Liedekerke,0,0,0,1,0,1,0,0,16,0,1,0,1,0,0,0,1,0
Linkebeek,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Londerzeel,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
Lot,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Malderen,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Merchtem,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Mollem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Neerwinden,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nossegem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Opwijk,0,0,0,1,0,0,0,0,10,0,1,0,1,0,0,0,1,0
Oud-Heverlee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ruisbroek,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Rhode-Saint-Genese,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Sint-Joris-Weert,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Sint-Martens-Bodegem,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Ternat,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Testelt,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Tirlemont,0,1,0,1,1,0,1,0,8,0,1,0,1,0,0,0,1,0
Tollembeek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Veltem,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Vertrijk,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
Vilvorde,1,1,0,1,0,0,1,0,7,0,1,0,1,0,0,1,1,1
Weerde,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0
Wespelaar-Tildonk,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Wezemaal,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Wijgmaal,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Zaventem,0,0,0,1,0,1,0,0,4,0,1,0,1,0,0,0,1,0
Zellik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zichem,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Hainaut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acren,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Aiseau,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Antoing,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Ath,0,0,0,0,1,0,1,0,9,0,1,1,1,0,0,1,1,0
Beignee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Binche,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0
Blaton,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Boussu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bracquegnies,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Braine-Le-Comte,0,0,1,0,1,0,1,0,10,0,1,1,1,0,0,0,1,0
Brugelette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Callenelle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cambron-Casteau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carnieres,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Charleroi-Central,0,1,1,0,1,1,1,1,7,0,1,1,1,0,0,1,1,1
Charleroi-Ouest,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chatelet,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
Comines,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Couillet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Courcelles-Motte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Cour-Sur-Heure,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ecaussinnes,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Enghien,0,0,0,1,1,1,0,0,12,0,1,0,1,0,0,0,1,0
Erbisoeul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Erquelinnes,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Erquelinnes-Village,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Familleureux,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Farciennes,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Fleurus,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,1,0
Fontaine-Valmont,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Forchies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frameries,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Froyennes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Genly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ghlin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Godarville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gouy-Lez-Pieton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hainin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ham-Sur-Heure,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Harchies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Havre,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hennuyeres,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
Herseaux,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Houraing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Hourpes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jamioulx,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Jemappes,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Jurbise,0,0,0,1,0,0,0,0,9,0,1,0,1,0,0,0,1,0
Labuissiere,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
La Louviere-Centre,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0
La Louviere-Sud,0,0,0,0,1,0,1,0,11,0,0,0,1,0,0,0,1,0
Landelies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Le Campinaire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lens,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lessines,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0
Leuze,0,0,0,0,1,0,1,0,8,0,0,0,1,0,0,0,1,0
Leval,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Lobbes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Lodelinsart,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Luttre,0,0,0,0,1,0,1,0,11,0,1,0,1,0,0,0,1,0
Maffle,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Manage,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0
Marche-Lez-Ecaussinnes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Marchienne-Au-Pont,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0
Marchienne-Zone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Masnuy-Saint-Pierre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Maubray,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mevergnies-Attre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mons,0,1,0,1,1,0,1,1,10,1,1,0,1,0,0,1,1,1
Morlanwelz,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Mouscron,0,0,0,1,1,0,1,0,4,0,0,0,1,0,0,0,1,0
Neufvilles,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nimy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Obaix-Buzet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
